"Data Source","World Development Indicators",

"Last Updated Date","2017-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Andorra","AND","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.16474759828771","13.5607245482879","19.801225602101","12.8138865020649","9.70343223954206","10.9219683281084","21.7966184565402","16.9856774992247","20.476748005875","26.6974231535714","26.4016186858457","15.3653892261624","22.3118838490728","13.9262134771426","10.302109050979","21.618012406174","16.7469272585962","19.4440624188741","22.0504795167245","18.6113357650062","","","",
"Andorra","AND","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3914459","5577625","8330815","6432320","3511781","4113229","10193596","9822198","16410433","27459185","25375265","16789361","31340088","15234546","8789758","17876901","17190617","18556300","20172634","16200929","","","",
"Andorra","AND","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2449","7643","2404","1141","1620","1578","725","859","741","806","876","1071","1021","785","948","803","620","","896","","","",
"Andorra","AND","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","504","498","226","728","600","240","258","202","304","239","259","325","243","259","225","182","","191","190","","",
"Andorra","AND","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2285","7139","1906","915","892","978","485","601","539","502","637","812","696","542","689","578","438","","705","863","","",
"Andorra","AND","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2.6","1.5","4.1","1.3","5.2","5","6.2","0.7","3.4","1.2","1","3.9","5.9","","","","",
"Andorra","AND","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27383726053751","1.42932840951049","3.32806434738392","0.903992034372827","1.13629893698448","","1.90008710559821","2.84914272412418","1.78274736479515","1.53283783660887","1.4963545866806","1.75728107483294","1.27483704058324","1.45694098643791","1.35303412398226","1.09938712431921","1.57033765666819","","","1.10992410960603","2.09359877125395","1.73060828898696","3.35980904311491","","","",
"Arab World","ARB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860898536","825554239","944144169","1089504504","1240958210","1313697416","1716825714","1762952704","2132942126","1631056824","2419538790","2416003819","2599340987","2770923934","","","","",
"Arab World","ARB","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trademark applications, total","IP.TMK.TOTL","","","","","5083","6145","20898","7505","7340","8298","7204","8171","9219","8100","8201","7166","7167","6795","8351","7889","8411","","","","","","","","","","","","","","","","","","32461","28487","50873","43753","44291","44544","58554","70439","83074","90108","83213","72934","76847","92644","96605","96279","99307","","","",
"Arab World","ARB","Trademark applications, direct resident","IP.TMK.RESD","","","","","1377","1675","","2048","1978","2400","1996","2713","2034","2118","2075","1953","1421","1662","1839","1996","2463","","","","","","","","","","","","","","","","","","","","14169","11045","","","","","","","","","","29122","","30598","45476","49073","","",
